Alcimus	15
Azarias	15
Baptizer	15
Cilicia	15
Edomites	15
Eliakim	15
Eliezer	15
Eliphaz	15
Enoch	15
Gezer	15
Hashabiah	15
Iddo	15
Kedesh	15
Kidron	15
Kohathites	15
Lazarus	15
Levitical	15
Mephibosheth	15
Miriam	15
Mishael	15
Nebuzaradan	15
Ophir	15
Peor	15
Rabbah	15
Sidonians	15
Tobiah	15
Ziklag	15
Amram	14
Barak	14
Bela	14
Bethsura	14
Debir	14
Gadites	14
Gershom	14
Hagar	14
Hamor	14
Heth	14
Hor	14
Hushai	14
Jair	14
Jazer	14
Jeduthun	14
Jehiel	14
Jehoiachin	14
Kareah	14
Mahanaim	14
Nethanel	14
Pashhur	14
Perizzite	14
Rahab	14
Sadducees	14
Terah	14
Titus	14
Zobah	14
Abinadab	13
Abiram	13
Achior	13
Amoz	13
Andrew	13
Arioch	13
Azotus	13
Coelesyria	13
Eglon	13
Festus	13
Gazara	13
Gehenna	13
Gog	13
Hannah	13
Heliodorus	13
Hinnom	13
Jedaiah	13
Jerubbaal	13
Jewish	13
Martha	13
Megiddo	13
Nabuchodonosor	13
Nahshon	13
Nebo	13
Notwithstanding	13
Rechab	13
Remaliah	13
Ruth	13
Shealtiel	13
Shephatiah	13
Teman	13
Abihu	12
Agrippa	12
Aha	12
Anah	12
Ashkelon	12
Ashtaroth	12
Barzillai	12
Bethany	12
Cush	12
Dathan	12
Elihu	12
Ezer	12
Gehazi	12
Hoshea	12
Huram	12
Ishbosheth	12
Israelites	12
Japheth	12
Jonadab	12
Kedar	12
Lamech	12
Magdalene	12
Mahli	12
Ornan	12
Paran	12
Pharisee	12
Rehob	12
Silas	12
Tabor	12
Timnah	12
Zalmunna	12
Zebah	12
Zebedee	12
Zichri	12
Achaia	11
Barabbas	11
Barnea	11
Beor	11
Berechiah	11
Beriah	11
Bilhah	11
Cyprus	11
Deborah	11
Dedan	11
Dibon	11
Ehud	11
Er	11
Ethiopians	11
Gershonites	11
Gorgias	11
Haggai	11
Hammedatha	11
Hanani	11
Hanun	11
Harim	11
Hazar	11
Heber	11
Hepher	11
Hittites	11
Iscariot	11
Jeiel	11
Joah	11
Kenaz	11
Melchizedek	11
Mesopotamia	11
Midianites	11
Paddan	11
Pekah	11
Reuel	11
Rezin	11
Riblah	11
Susanna	11
Thomas	11
Uzzi	11
Zelophehad	11
Zorobabel	11
Aijalon	10
Ammonite	10
Amos	10
Apollos	10
Arabia	10
Arabians	10
Assyrian	10
Aven	10
Bathsheba	10
Bebai	10
Bethuel	10
Cherethites	10
Cushite	10
Dor	10
Eliel	10
Gerar	10
Immer	10
Izhar	10
Jeroham	10
Jethro	10
Jozabad	10
Kadmiel	10
Kir	10
Mamre	10
Michmash	10
Milcah	10
Millo	10
Nahash	10
Neriah	10
Nile	10
Perizzites	10
Purim	10
Sanballat	10
Seleucus	10
Seth	10
Shecaniah	10
Shelemiah	10
Tubal	10
Uzza	10
Zephaniah	10
Zin	10
Ziph	10
Zoar	10
Zorah	10
Adaiah	9
Adullam	9
Ammihud	9
Ammonites	9
Anak	9
Anakim	9
Anna	9
Araunah	9
Arba	9
Arpachshad	9
Azmaveth	9
Baanah	9
Bezalel	9
Bozrah	9
Caiaphas	9
Cornelius	9
Ecbatana	9
Elizabeth	9
Felix	9
Gaal	9
Geber	9
Gera	9
Geshur	9
Gileadite	9
Greece	9
Hathach	9
Hormah	9
India	9
Jeush	9
Jobab	9
Kittim	9
Makkedah	9
Memphis	9
Meribah	9
Meshech	9
Modin	9
Nathanael	9
Nazirite	9
Ophrah	9
Raphael	9
Shaul	9
Shobal	9
Spartans	9
Tekoa	9
Topheth	9
Urim	9
Zaccur	9
Zebadiah	9
Zur	9
Abdon	8
Adah	8
Agag	8
Akkub	8
Andronicus	8
Aphek	8
Asaiah	8
Benjamite	8
Bichri	8
Carmi	8
Chebar	8
Chemosh	8
Chislev	8
Cyrene	8
Dinah	8
Ebal	8
Edrei	8
Eliphelet	8
Elnathan	8
Elon	8
Enan	8
Gabael	8
Gilboa	8
Gittite	8
Helkias	8
Hivites	8
Israelite	8
Ittai	8
Jabin	8
Jachin	8
Jahath	8
Jeconiah	8
Jehohanan	8
Jehozadak	8
Jerahmeel	8
Jeremoth	8
Jether	8
Jezreelite	8
Luz	8
Manasses	8
Mareshah	8
Mattithiah	8
Menahem	8
Molech	8
Mushi	8
Netophathite	8
Oholibamah	8
Onan	8
Pedaiah	8
Peleg	8
Philistia	8
Pisgah	8
Rehum	8
Roman	8
Shammah	8
Shaphat	8
Sherebiah	8
Shinar	8
Shunammite	8
Tappuah	8
Uri	8
Uz	8
Zabad	8
Zibeon	8
Abiezer	7
Achan	7
Achbor	7
Achiacharus	7
Ahinoam	7
Ariel	7
Athens	7
Azekah	7
Azel	7
Babylonians	7
Basemath	7
Beelzebul	7
Bethsaida	7
Binnui	7
Chaldea	7
Chaldean	7
Delaiah	7
Dishon	7
Edna	7
El	7
Elim	7
Elioenai	7
Enosh	7
Epiphanes	7
Eshtaol	7
Ethan	7
Ezion	7
Gamaliel	7
Gedor	7
Gihon	7
Goliath	7
Habakkuk	7
Havilah	7
Hegai	7
Hoglah	7
Idumaea	7
Jabbok	7
Jahaz	7
Jared	7
Jarmuth	7
Javan	7
Jeremy	7
